Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Change from Previous Year
Benin,2020,77th,72.5,5.6,6.7,2.9,6.5,8.2,6.8,4.9,8.2,4.6,7.6,4.8,5.8,-1.1
Azerbaijan,2020,78th,71.3,5.9,7.9,5.6,4.4,5.2,4.3,9.1,4.5,8.0,3.7,6.8,5.9,-1.9
Micronesia,2020,79th,71.2,4.0,5.6,3.7,7.9,7.4,9.3,4.6,5.6,3.5,6.0,3.6,10.0,-1.8
Morocco,2020,80th,71.2,5.2,6.6,8.8,5.2,5.1,7.6,6.8,4.6,5.9,4.3,5.6,5.5,-1.7
Georgia,2020,80th,71.2,5.9,9.1,7.6,5.3,4.6,5.2,8.5,3.4,5.1,3.0,6.6,6.9,-0.8
Thailand,2020,82nd,70.8,8.1,9.7,7.6,3.3,4.6,4.4,7.6,3.5,7.8,5.9,5.4,2.9,-2.3
Sao Tome and Principe,2020,83rd,70.3,5.0,6.3,4.2,7.9,5.7,8.2,4.7,5.6,3.0,6.4,5.1,8.2,-0.8
Bosnia and Herzegovina,2020,84th,70.2,5.3,8.7,6.9,5.9,4.4,6.2,6.5,3.3,5.1,3.1,6.9,7.9,-1.1
South Africa,2020,85th,70.1,6.7,6.6,6.2,7.5,6.8,5.2,6.2,6.4,3.9,6.6,4.5,3.5,-1.0
China,2020,86th,69.9,5.8,7.2,7.4,3.9,6.4,4.3,8.8,4.8,9.3,5.6,4.0,2.4,-1.2
Fiji,2020,86th,69.9,6.8,7.9,6.0,5.6,5.4,7.9,6.0,4.1,6.0,4.1,2.9,7.2,-1.8
Bhutan,2020,88th,69.5,3.6,7.5,8.8,5.0,5.0,6.6,3.4,5.2,5.7,5.2,6.1,7.4,-2.4
Ecuador,2020,89th,69.4,6.2,8.2,6.4,5.4,6.1,4.9,6.0,5.6,3.9,5.4,5.9,5.4,-1.7
Gabon,2020,90th,69.1,5.1,8.3,2.9,5.7,5.6,5.5,7.8,6.0,7.2,6.6,3.6,4.8,-1.3
Turkmenistan,2020,90th,69.1,5.4,7.8,5.7,5.0,6.1,4.8,9.7,4.7,8.6,4.9,3.2,3.2,-2.3
Ukraine,2020,92nd,69.0,7.0,8.0,5.8,6.2,3.3,5.5,7.1,4.0,6.3,3.3,4.4,8.1,-2.2
El Salvador,2020,93rd,68.9,7.1,4.3,5.8,5.1,5.5,8.5,4.1,5.7,5.4,6.7,5.3,5.4,-0.9
Saudi Arabia,2020,94th,68.8,6.0,8.5,8.7,3.9,4.7,3.6,8.1,2.9,8.9,4.4,4.1,5.0,-1.6
Tunisia,2020,95th,68.1,7.4,7.8,6.8,7.2,4.6,5.9,6.2,4.0,5.6,3.3,3.8,5.5,-2.1
